Name,Address,City,State,ZipCode,Website
Metro,3730 N Clark St,Chicago,IL,60613,https://metrochicago.com
The Salt Shed,1357 N Elston Ave,Chicago,IL,60642,https://www.saltshedchicago.com
House of Blues Chicago,329 N Dearborn St,Chicago,IL,60654,https://www.houseofblues.com/chicago
Thalia Hall,1807 S Allport St,Chicago,IL,60608,https://www.thaliahallchicago.com
The Vic Theatre,3145 N Sheffield Ave,Chicago,IL,60657,https://www.jamusa.com/venues/the-vic
Riviera Theatre,4746 N Racine Ave,Chicago,IL,60640,https://www.jamusa.com/venues/riviera-theatre
Aragon Ballroom,1106 W Lawrence Ave,Chicago,IL,60640,https://www.livenation.com/venue/KovZpZAJ6tEA/byline-bank-aragon-ballroom-events
Lincoln Hall,2424 N Lincoln Ave,Chicago,IL,60614,https://lh-st.com
Schubas Tavern,3159 N Southport Ave,Chicago,IL,60657,https://lh-st.com
Bottom Lounge,1375 W Lake St,Chicago,IL,60607,https://bottomlounge.com
Concord Music Hall,2047 N Milwaukee Ave,Chicago,IL,60647,https://concordmusichall.com
Sleeping Village,3734 W Belmont Ave,Chicago,IL,60618,https://sleeping-village.com
Empty Bottle,1035 N Western Ave,Chicago,IL,60622,https://www.emptybottle.com
Subterranean,2011 W North Ave,Chicago,IL,60647,https://www.subt.net
Reggies,2105 S State St,Chicago,IL,60616,https://www.reggieslive.com
Beat Kitchen,2100 W Belmont Ave,Chicago,IL,60618,https://www.beatkitchen.com
Martyrs',3855 N Lincoln Ave,Chicago,IL,60613,https://martyrslive.com
Park West,322 W Armitage Ave,Chicago,IL,60614,https://www.jamusa.com/venues/park-west
Chop Shop,2033 W North Ave,Chicago,IL,60647,https://chopshopchi.com
Radius Chicago,640 W Cermak Rd,Chicago,IL,60616,https://radius-chicago.com
